0.200	986.000	1.397	0.371	-0.042	11.240
0.100	991.000	1.385	0.487	-0.056	11.430
-0.000	988.000	1.393	0.073	-0.008	10.420
0.100	983.000	1.374	0.544	-0.062	11.480
-0.200	983.000	1.330	0.537	-0.063	11.790
-0.100	985.000	1.416	0.241	-0.027	11.310
0.100	988.000	1.400	0.263	-0.034	13.080
-0.300	987.000	1.339	0.512	-0.061	11.850
0.100	978.000	1.364	0.371	-0.047	12.760
-0.100	1002.000	1.441	0.081	-0.008	10.250
-0.100	988.000	1.403	0.367	-0.040	11.020
0.100	985.000	1.404	-0.022	0.002	10.080
-0.300	994.000	1.409	0.293	-0.035	12.050
0.000	976.000	1.362	0.292	-0.030	10.320
-0.200	757.000	1.293	-0.036	-0.010	-28.570
-0.100	767.000	1.288	-0.160	0.009	5.610
-0.100	764.000	1.250	0.318	-0.052	16.270
0.200	756.000	1.297	0.124	-0.031	25.220
0.100	758.000	1.289	0.055	-0.022	41.160
-0.000	761.000	1.308	-0.198	0.008	4.200
0.100	757.000	1.317	-0.046	-0.010	-20.880
-0.100	752.000	1.272	0.232	-0.045	19.240
-0.100	739.000	1.378	-0.422	0.034	7.950
-0.100	762.000	1.203	0.464	-0.070	14.980
-0.000	748.000	1.270	-0.020	-0.013	-66.590
-0.100	748.000	1.304	-0.165	0.008	4.970
-0.000	760.000	1.268	0.095	-0.026	27.580
-0.100	762.000	1.268	-0.053	-0.009	-16.840
-0.000	755.000	1.300	-0.199	0.007	3.520
-0.000	552.000	2.532	-1.546	0.166	10.710
-0.100	558.000	2.486	-1.491	0.159	10.650
-0.100	554.000	2.518	-1.650	0.177	10.710
0.100	548.000	2.586	-1.639	0.178	10.840
-0.000	552.000	2.550	-1.605	0.171	10.640
0.100	557.000	2.517	-1.402	0.150	10.680
0.100	553.000	2.514	-1.451	0.155	10.700
-0.200	559.000	2.510	-1.515	0.159	10.510
-0.100	552.000	2.590	-1.581	0.166	10.470
0.000	549.000	2.515	-1.454	0.152	10.490
0.200	560.000	2.528	-1.608	0.171	10.610
0.100	551.000	2.543	-1.592	0.169	10.640
0.100	552.000	2.553	-1.563	0.165	10.540
-0.200	552.000	2.568	-1.595	0.170	10.630
-0.000	381.000	2.537	0.314	-0.043	13.840
0.000	383.000	2.528	0.211	-0.033	15.590
0.000	375.000	2.505	0.465	-0.061	13.130
-0.200	383.000	2.556	0.130	-0.024	18.410
0.100	380.000	2.523	0.352	-0.050	14.160
-0.000	376.000	2.513	0.035	-0.014	39.730
-0.000	372.000	2.494	0.292	-0.041	14.070
0.000	376.000	2.529	0.096	-0.019	20.350
0.000	375.000	2.508	0.334	-0.046	13.800
-0.100	373.000	2.513	0.302	-0.041	13.680
0.100	379.000	2.511	0.178	-0.030	17.020
-0.300	375.000	2.506	0.245	-0.036	14.670
-0.100	268.000	1.873	0.098	-0.022	22.130
0.100	269.000	1.890	0.057	-0.017	29.200
0.100	268.000	1.873	0.040	-0.016	40.590
-0.000	268.000	1.880	0.036	-0.015	41.990
-0.100	268.000	1.892	-0.061	-0.003	-4.840
-0.100	268.000	1.890	-0.019	-0.009	-47.190
0.100	270.000	1.903	-0.048	-0.007	-15.410
-0.200	271.000	1.918	-0.039	-0.006	-14.860
-0.300	269.000	1.888	0.082	-0.021	25.990
-0.300	137.000	0.979	-0.128	0.003	2.320
-0.100	135.000	0.969	-0.129	0.003	2.350
-0.000	135.000	0.986	-0.176	0.008	4.470
-0.000	136.000	0.981	-0.177	0.008	4.800
-0.000	136.000	0.979	-0.080	-0.001	-1.750
-0.300	138.000	0.998	-0.097	0.000	0.040
0.000	136.000	0.977	-0.115	0.002	1.630
0.200	136.000	0.983	-0.133	0.005	3.520
0.000	135.000	0.972	-0.126	0.004	3.490
-0.100	136.000	0.982	-0.106	0.001	1.160
0.100	136.000	0.969	-0.149	0.007	4.380
0.100	135.000	0.965	-0.106	0.001	1.250
-0.000	135.000	0.973	-0.108	0.002	1.880
-0.000	67.000	0.482	-0.104	0.003	2.710
-0.100	67.000	0.485	-0.098	0.002	2.460
0.000	67.000	0.486	-0.112	0.005	4.220
-0.000	68.000	0.492	-0.084	0.001	0.680
-0.100	68.000	0.495	-0.140	0.007	5.300
-0.100	67.000	0.489	-0.109	0.004	3.930
0.000	67.000	0.483	-0.110	0.004	3.780
-0.100	68.000	0.487	-0.071	-0.000	-0.400
-0.100	67.000	0.488	-0.096	0.003	3.120
-0.300	67.000	0.486	-0.134	0.008	5.760
0.300	68.000	0.489	-0.073	0.001	0.940
-0.000	67.000	0.485	-0.126	0.007	5.160
0.000	67.000	0.480	-0.082	0.002	2.220
0.100	68.000	0.492	-0.086	0.002	2.810
0.000	67.000	0.487	-0.108	0.004	3.990
0.100	16.000	0.128	-0.064	0.002	3.080
-0.000	16.000	0.126	-0.059	0.002	2.820
-0.000	16.000	0.124	-0.048	0.001	2.110
0.100	16.000	0.124	-0.055	0.002	3.480
0.000	16.000	0.124	-0.061	0.002	3.140
0.100	16.000	0.125	-0.060	0.002	3.330
-0.400	16.000	0.127	-0.053	0.002	3.340
0.200	16.000	0.126	-0.053	0.002	2.850
-0.100	16.000	0.125	-0.051	0.001	2.060
0.100	16.000	0.126	-0.054	0.002	2.920
-0.300	16.000	0.125	-0.046	0.001	2.040
0.000	16.000	0.126	-0.040	0.001	1.310
-0.300	16.000	0.125	-0.048	0.001	2.860
-0.100	16.000	0.126	-0.046	0.001	3.030
